ID_Ingredient,Ingredient,Quantity,Weigh
MEA12,Thịt gà,500 Gr,0.5
VEG13,Cà rốt,1 Củ,0.05
VEG55,Nấm kim châm,100 Gr,0.05
VEG56,Nấm linh chi nâu,50 Gr,0.05
VEG52,Nấm đông cô,50 Gr,0.05
VEG51,Nấm bào ngư,100 Gr,0.05
VEG53,Nấm đùi gà,1 Cái,0.05
VEG58,Nấm linh chi trắng,50 Gr,0.05
VEG37,Hẹ,2 Cọng,0.05
VEG31,Hành tím,1 Củ,0.05
VEG64,Ớt,2 Trái,0.01
RIC09,Thuốc bắc,1 Gói,0.04
SPI34,Muối,1/2 Muỗng cà phê,0.0
SPI22,Đường trắng,1 Muỗng cà phê,0.0
VEG34,Hạt nêm,1 Muỗng cà phê,0.0
VEG36,Tiêu,1/4 Muỗng cà phê,0.0
